"Take Method",Unit,Harvest,Hunters,Success%,Days,Antlered,Antlerless,%4+Pts,%5+Pts,%Whitetail
Muzzleloader,30A,0,3,0,16,,,,,
"All Weapons Combined",30A,18,130,13.5,760,12,5,12.2,0,23.6
"Any Weapon",31,215,975,22.1,3626,137,79,28.7,,0
Archery,31,30,230,13.2,2065,11,20,0,,0
"All Weapons Combined",31,246,1155,21.3,5692,148,98,26.5,,0
"Any Weapon",32,573,2554,22.4,9262,486,87,22.9,20.4,2
Archery,32,12,262,4.6,1468,7,5,0,,0
Muzzleloader,32,0,7,0,33,,,,,
"All Weapons Combined",32,585,2744,21.3,10764,492,92,22.6,20.4,1.9
"Any Weapon",32A,304,2272,13.4,9478,254,50,27.7,0,0.9
Archery,32A,17,423,4.1,2912,1,16,0,,19
Muzzleloader,32A,0,3,0,7,,,,,
"All Weapons Combined",32A,321,2583,12.4,12398,255,66,27.6,0,1.8
"Any Weapon",33,179,1335,13.4,6372,160,19,37.1,11.8,32.7
Archery,33,11,223,4.8,1516,,11,,,50
Muzzleloader,33,0,1,0,12,,,,,
"All Weapons Combined",33,190,1513,12.6,7900,160,30,37.1,11.8,33.7
"Any Weapon",34,20,296,6.7,1322,20,,60.4,,0
Archery,34,3,99,2.6,575,3,,100,,0
"All Weapons Combined",34,23,386,5.9,1897,23,,64.9,,0
"Any Weapon",35,97,470,20.6,2294,97,,44.2,,0
Archery,35,5,48,11.3,222,,5,,,0
"All Weapons Combined",35,102,509,20,2516,97,5,44.2,,0
"Any Weapon",36,205,960,21.3,4536,205,,50.7,,0
Archery,36,36,190,19.1,1512,20,16,12.9,,0
"All Weapons Combined",36,241,1142,21.1,6048,225,16,47.3,,0
"Any Weapon",36A,87,531,16.3,2279,85,1,49.4,0,3.5
Archery,36A,14,116,12,825,8,6,83.6,,33.2
"All Weapons Combined",36A,101,633,15.9,3104,93,7,52.4,0,7.6
"Any Weapon",36B,477,1233,38.7,6286,460,16,43.4,24.5,3.1
Archery,36B,12,81,14.9,775,7,5,0,0,44.6
Muzzleloader,36B,3,8,31,28,3,,,0,100
"All Weapons Combined",36B,491,1294,38,7089,470,22,43.3,15.4,4.7
"Any Weapon",37,98,372,26.3,1356,93,5,50,35.2,37.4
Archery,37,3,80,3.2,488,1,1,,100,50
Muzzleloader,37,20,37,53.2,146,17,3,,30.7,100
"All Weapons Combined",37,120,472,25.5,1990,111,10,50,35.4,48
"Any Weapon",37A,72,218,33.2,778,69,3,40.2,0,6.4
Archery,37A,10,59,17.2,239,1,9,0,,53.1
Muzzleloader,37A,4,13,28.8,94,4,,,66.6,100
"All Weapons Combined",37A,86,279,31,1110,74,12,39.4,30.2,16
"Any Weapon",38,172,721,23.8,2965,79,93,21.9,0,4.6
Archery,38,10,83,12.1,505,3,7,100,,0
Muzzleloader,38,9,28,31,214,,9,,,0
"All Weapons Combined",38,191,791,24.1,3683,82,109,25.4,0,4.2
"Any Weapon",39,2516,11390,22.1,47370,2001,515,33.5,0,0.7
Archery,39,126,1750,7.2,6761,49,77,51,,0
Muzzleloader,39,63,406,15.5,2047,5,58,0,,5.4
"All Weapons Combined",39,2706,12786,21.2,56178,2056,650,33.9,0,0.8
"Any Weapon",40,510,2154,23.7,7365,510,,3.2,0,1.3
Archery,40,74,313,23.8,1408,18,57,0,,0
"All Weapons Combined",40,584,2408,24.3,8772,527,57,3.1,0,1.1
"Any Weapon",41,102,608,16.7,2110,102,,0,,0
Archery,41,3,38,8.8,223,,3,,,100
"All Weapons Combined",41,105,631,16.6,2333,102,3,0,,3.2
"Any Weapon",42,66,311,21.1,1122,62,3,0,0,8.3
Archery,42,5,51,10.5,240,,5,,,0
"All Weapons Combined",42,71,352,20.2,1362,62,9,0,0,7.6
"Any Weapon",43,884,3568,24.8,13689,737,148,35.8,,0.2
Archery,43,105,669,15.6,4487,43,62,15.4,,0
Muzzleloader,43,0,7,0,14,,,,,
"All Weapons Combined",43,989,4049,24.4,18190,780,209,34.7,,0.2
"Any Weapon",44,1,79,1.6,256,1,,100,,0
Archery,44,0,22,0,88,,,,,
Muzzleloader,44,0,3,0,14,,,,,
"All Weapons Combined",44,1,99,1.3,357,1,,100,,0
"Any Weapon",45,40,116,34.7,390,36,5,54.9,,0
Archery,45,0,10,0,46,,,,,
"All Weapons Combined",45,40,126,31.9,436,36,5,54.9,,0
"Any Weapon",46,372,1769,21.1,7843,290,83,21.3,0,0.9
Archery,46,19,106,17.8,462,13,5,19.5,,0
"All Weapons Combined",46,391,1834,21.3,8305,303,88,21.2,0,0.9
"Any Weapon",47,11,37,29.1,98,11,,50,,0
Archery,47,1,106,1.2,545,1,,0,,0
"All Weapons Combined",47,12,143,8.5,643,12,,44.6,,0
"Any Weapon",48,431,1763,24.5,7639,428,3,41.4,0,1.3
Archery,48,8,177,4.5,1551,7,1,80.5,,0
"All Weapons Combined",48,439,1868,23.5,9190,434,5,42,0,1.2
"Any Weapon",49,360,2068,17.4,8109,356,5,32.3,,0
Archery,49,3,223,1.2,1309,1,1,0,,0
Muzzleloader,49,3,3,100,10,,3,,,0
"All Weapons Combined",49,366,2224,16.5,9428,357,9,32.2,,0
"Any Weapon",50,443,1700,26.1,6660,385,58,34.1,16.4,2.7
Archery,50,8,378,2.1,2782,4,4,100,,0
"All Weapons Combined",50,451,1949,23.1,9442,388,62,34.8,16.4,2.7
"Any Weapon",51,248,887,28,3040,194,54,35.3,41.4,7.3
Archery,51,12,190,6.4,1532,5,7,0,,0
"All Weapons Combined",51,261,1001,26,4572,200,61,34.2,41.4,7
"Any Weapon",52,14,108,13.1,416,9,5,0,0,23.9
Archery,52,0,3,0,10,,,,,
"All Weapons Combined",52,14,111,12.8,427,9,5,0,0,23.9
"Any Weapon",52A,241,1180,20.4,4954,187,54,39.9,0,1.4
Archery,52A,0,38,0,168,,,,,
Muzzleloader,52A,3,3,100,3,,3,,,0
"All Weapons Combined",52A,244,1197,20.4,5125,187,58,39.9,0,1.4
"Any Weapon",53,172,453,37.9,1771,121,51,46.5,0,2
Archery,53,5,30,18.1,222,5,,100,,0
Muzzleloader,53,5,12,44.3,58,5,,100,,0
"All Weapons Combined",53,183,495,36.9,2051,132,51,51,0,1.9
"Any Weapon",54,7,57,11.7,268,7,,0,,0
Archery,54,0,39,0,168,,,,,
"All Weapons Combined",54,7,93,7.2,436,7,,0,,0
"Any Weapon",55,12,52,22.9,158,12,,0,50,90
Archery,55,44,742,5.9,2817,22,21,22.8,,0
Muzzleloader,55,0,5,0,5,,,,,
"All Weapons Combined",55,56,798,7,2981,35,21,21.6,50,19.4
"Any Weapon",56,292,1755,16.6,6652,292,,41.2,,0
Archery,56,16,204,7.9,1129,5,11,100,,0
"All Weapons Combined",56,308,1869,16.5,7781,297,11,42.3,,0
"Any Weapon",57,5,49,10.9,159,5,,0,,0
Archery,57,4,67,5.8,494,1,3,0,,0
Muzzleloader,57,1,1,100,6,1,,100,,0
"All Weapons Combined",57,11,118,9.1,658,8,3,17,,0
"Any Weapon",58,94,476,19.7,1552,74,20,33.2,0,4.9
Archery,58,12,85,14.3,618,1,11,0,,0
"All Weapons Combined",58,106,530,20,2170,75,31,32.6,0,4.3
"Any Weapon",59,232,954,24.3,3015,169,62,14.4,,0
Archery,59,26,234,11,1622,16,10,43.5,,0
Muzzleloader,59,0,5,0,27,,,,,
"All Weapons Combined",59,257,1121,23,4663,185,73,16.9,,0
"Any Weapon",59A,95,411,23.2,1387,57,38,22.2,0,8.9
Archery,59A,7,81,8.3,392,5,1,0,,0
"All Weapons Combined",59A,102,481,21.2,1778,62,40,20.1,0,8.3
"Any Weapon",60,194,1080,18,4480,146,49,28.3,15.5,20.3
Archery,60,43,243,17.6,1859,16,27,0,32.4,11.4
Muzzleloader,60,2,5,32,11,,2,,,100
"All Weapons Combined",60,239,1261,18.9,6350,161,77,26,18.7,19.2
"Any Weapon",60A,319,1238,25.8,5012,253,66,30.8,11.4,10.4
Archery,60A,32,179,17.7,1366,26,5,100,34.9,65.9
"All Weapons Combined",60A,351,1364,25.7,6378,279,71,34,20.4,15.5
"Any Weapon",61,145,1002,14.4,4025,106,39,25,0,14.2
Archery,61,24,443,5.5,4076,18,7,0,100,13.6
Muzzleloader,61,0,8,0,54,,,,,
"All Weapons Combined",61,169,1295,13,8155,123,46,21.7,21.4,14.1
"Any Weapon",62,104,532,19.6,2162,89,15,38.1,0,40.8
Archery,62,30,138,22,1079,20,11,0,38.3,82.2
"All Weapons Combined",62,134,614,21.9,3241,109,26,34.5,10.5,50.1
"Any Weapon",62A,59,308,19.1,1436,42,17,27.8,0,22.5
Archery,62A,3,59,4.6,432,,3,,,0
"All Weapons Combined",62A,62,355,17.3,1868,42,19,27.8,0,21.5
"Any Weapon",63,30,300,9.9,1287,23,7,55.1,0,11.1
Archery,63,22,201,10.7,1207,22,,100,50,50
Muzzleloader,63,0,10,0,39,,,,,
"All Weapons Combined",63,51,453,11.3,2533,45,7,71.1,38.3,27.5
"Any Weapon",63A,95,370,25.6,2149,49,46,,53.5,96.4
Archery,63A,108,403,26.8,4482,100,8,,34.5,100
Muzzleloader,63A,3,24,13.1,174,3,,,0,100
"All Weapons Combined",63A,206,720,28.6,6805,152,54,,39.9,98.3
"Any Weapon",64,63,398,15.8,1392,46,17,15.1,46,45.2
Archery,64,12,78,15.3,490,12,,0,0,55
"All Weapons Combined",64,75,464,16.1,1882,58,17,12.9,32.1,46.8
"Any Weapon",65,37,283,13,1253,32,5,24.9,30.2,17.2
Archery,65,12,75,16.5,690,9,3,100,63.1,89.4
"All Weapons Combined",65,49,337,14.5,1944,41,8,28.4,50.6,35.4
"Any Weapon",66,56,996,5.6,4456,56,,29.5,0,10.8
Archery,66,5,244,1.9,2012,,5,,,0
"All Weapons Combined",66,60,1137,5.3,6468,56,5,29.5,0,9.9
"Any Weapon",66A,68,559,12.1,2249,64,3,30.5,50,3.9
Archery,66A,4,143,2.8,1167,1,3,0,,0
"All Weapons Combined",66A,72,667,10.7,3416,66,6,29.8,50,3.7
"Any Weapon",67,123,762,16.1,3088,115,8,29.3,10.8,31.4
Archery,67,13,78,17.1,594,13,,100,41.9,59.3
"All Weapons Combined",67,136,822,16.6,3682,128,8,33.6,17.1,34.2
"Any Weapon",68,108,490,21.9,1622,101,7,41.5,,0
Archery,68,0,42,0,351,,,,,
"All Weapons Combined",68,108,510,21.1,1973,101,7,41.5,,0
"Any Weapon",68A,5,34,15.2,124,4,1,,33.3,100
Archery,68A,0,7,0,19,,,,,
"All Weapons Combined",68A,5,35,14.7,143,4,1,,33.3,100
"Any Weapon",69,271,2037,13.3,8067,256,15,33.3,41.2,18.5
Archery,69,15,309,5,2312,9,7,0,0,29.7
Muzzleloader,69,0,7,0,28,,,,,
"All Weapons Combined",69,287,2171,13.2,10407,265,22,32.5,38.2,19.1
"Any Weapon",70,24,91,26.7,404,21,3,67.7,,13.9
Archery,70,0,18,0,161,,,,,
"All Weapons Combined",70,24,103,23.6,565,21,3,67.7,,13.9
"Any Weapon",71,263,1026,25.6,3727,260,3,36.4,0,0.5
Archery,71,10,144,7.1,1128,5,5,0,,0
"All Weapons Combined",71,273,1073,25.5,4855,264,9,35.7,0,0.5
"Any Weapon",72,138,841,16.4,3752,138,,18.9,,0
Archery,72,3,146,2.3,1008,3,,0,,0
"All Weapons Combined",72,142,894,15.8,4760,142,,18.5,,0
"Any Weapon",73,79,349,22.7,1405,29,50,41.6,,1.7
Archery,73,27,213,12.5,1509,25,1,36.2,,0
"All Weapons Combined",73,106,548,19.3,2914,54,52,39,,1.3
"Any Weapon",73A,248,1171,21.2,4134,201,47,52.5,,2.7
Archery,73A,5,77,7,405,,5,,,0
"All Weapons Combined",73A,253,1200,21.1,4539,201,52,52.5,,2.7
"Any Weapon",74,289,1132,25.5,4984,289,,36.8,0,0.5
Archery,74,12,190,6.4,1371,7,5,79.7,,0
Muzzleloader,74,0,5,0,54,,,,,
"All Weapons Combined",74,302,1232,24.5,6409,296,5,37.8,0,0.4
"Any Weapon",75,280,1143,24.5,4888,230,50,39.7,,0
Archery,75,13,138,9.6,908,4,9,0,,0
"All Weapons Combined",75,293,1208,24.3,5796,234,59,39,,0
"Any Weapon",76,766,3080,24.9,15466,766,,28.9,0,0.9
Archery,76,37,600,6.2,5792,11,27,23.9,,0
Muzzleloader,76,0,7,0,14,,,,,
"All Weapons Combined",76,804,3421,23.5,21272,777,27,28.8,0,0.8
"Any Weapon",77,194,869,22.3,4143,165,29,44.8,,2.4
Archery,77,12,166,7.4,1049,5,7,100,,0
"All Weapons Combined",77,206,925,22.2,5192,170,36,46.5,,2.3
"Any Weapon",78,1,48,2.7,256,1,,0,,0
Archery,78,42,222,18.7,1570,19,23,64.3,,0
"All Weapons Combined",78,43,262,16.3,1827,20,23,60,,0
