"Take Method",Unit,Harvest,Hunters,Success%,Days,Antlered,Antlerless,%4+Pts,%5+Pts,%Whitetail
"All Weapons Combined",8A,2067,5028,41,37381,1382,685,42.8,24.4,98.9
"Any Weapon",9,4,39,10,211,1,2,0,,66.3
Archery,9,0,18,0,87,,,,,
Muzzleloader,9,0,7,0,18,,,,,
"All Weapons Combined",9,4,65,6,316,1,2,0,,66.3
"Any Weapon",10,122,438,28,2440,85,37,49.4,3.7,93.7
Archery,10,2,26,8,345,,2,,,0
"All Weapons Combined",10,125,461,27,2785,85,39,49.4,3.7,91.8
"Any Weapon",10A,2706,5435,50,36159,1908,798,22.5,21.8,99.5
Archery,10A,58,399,15,3666,36,22,,11,100
Muzzleloader,10A,42,125,34,392,,42,,,100
"All Weapons Combined",10A,2806,5686,49,40217,1944,862,22.5,21.6,99.5
"Any Weapon",11,731,1617,45,9353,583,147,100,27.3,99.8
Archery,11,0,5,0,78,,,,,
Muzzleloader,11,1,1,100,5,1,,,100,100
"All Weapons Combined",11,732,1621,45,9436,585,147,100,27.5,99.8
"Any Weapon",11A,1268,2234,57,12039,990,278,50,24.3,99.8
Archery,11A,14,77,18,468,13,1,100,31,90.9
Muzzleloader,11A,0,7,0,28,,,,,
"All Weapons Combined",11A,1282,2270,56,12536,1003,279,65.9,24.3,99.7
"Any Weapon",12,67,194,35,1141,52,15,,4.8,96.2
Archery,12,2,25,8,215,2,,0,0,50
"All Weapons Combined",12,69,218,32,1356,55,15,0,4.7,94.5
"Any Weapon",13,184,566,33,3566,116,68,,19.3,100
Muzzleloader,13,0,1,0,4,,,,,
"All Weapons Combined",13,184,566,33,3570,116,68,,19.3,100
"Any Weapon",14,598,1710,35,8898,347,252,100,16.3,99.8
Archery,14,0,20,0,204,,,,,
Muzzleloader,14,4,7,57,18,,4,,,100
"All Weapons Combined",14,602,1730,35,9120,347,255,100,16.3,99.8
"Any Weapon",15,1125,2315,49,11861,763,362,66.7,15.1,98.6
Archery,15,38,263,14,1927,33,6,,3.9,96.4
Muzzleloader,15,0,5,0,19,,,,,
"All Weapons Combined",15,1163,2519,46,13807,795,368,66.7,14.7,98.5
"Any Weapon",16,562,973,58,4693,412,150,0,11.7,99.8
Archery,16,1,8,12,42,,1,,,100
Muzzleloader,16,36,109,33,454,27,9,,13.1,100
"All Weapons Combined",16,599,1058,57,5189,439,160,0,11.8,99.8
"Any Weapon",16A,37,130,28,691,34,2,55,18.7,72.9
Archery,16A,0,4,0,16,,,,,
"All Weapons Combined",16A,37,131,28,706,34,2,55,18.7,72.9
"Any Weapon",17,163,500,33,2916,131,32,67.8,28.6,54.6
Archery,17,0,3,0,32,,,,,
"All Weapons Combined",17,163,501,33,2948,131,32,67.8,28.6,54.6
"Any Weapon",18,210,685,31,3168,143,67,100,18.3,95.8
Archery,18,0,6,0,57,,,,,
Muzzleloader,18,5,5,100,28,1,4,,0,100
"All Weapons Combined",18,215,696,31,3253,144,71,100,18.2,95.9
"Any Weapon",19,149,457,33,2386,109,40,54.3,77.7,15.3
Archery,19,0,5,0,69,,,,,
Muzzleloader,19,0,1,0,13,,,,,
"All Weapons Combined",19,149,463,32,2468,109,40,54.3,77.7,15.3
"Any Weapon",19A,80,592,14,3532,67,14,18.7,43.1,10.4
Archery,19A,13,101,13,806,10,2,0,,10
"All Weapons Combined",19A,93,686,14,4338,77,16,16,43.1,10.3
"Any Weapon",20,98,300,33,1637,89,9,34.9,29.3,31.7
Archery,20,1,8,12,87,1,,,0,100
"All Weapons Combined",20,99,301,33,1724,90,9,34.9,28,32.5
"Any Weapon",20A,39,234,17,1367,38,1,29.9,24.4,32.4
Archery,20A,0,3,0,17,,,,,
Muzzleloader,20A,1,1,100,5,,1,,,100
"All Weapons Combined",20A,40,238,17,1389,38,2,29.9,24.4,34.4
"Any Weapon",21,289,916,32,4766,274,15,54.7,19.3,7
Archery,21,29,106,27,794,13,16,55.1,0,4.4
Muzzleloader,21,10,29,34,127,5,5,,68.5,100
"All Weapons Combined",21,328,1023,32,5687,292,36,54.7,29.1,9.7
"Any Weapon",21A,237,771,31,4234,213,24,38.6,4.9,26.5
Archery,21A,20,91,22,650,20,,50.6,0,16.2
Muzzleloader,21A,16,47,34,291,16,,,10.5,100
"All Weapons Combined",21A,272,887,31,5176,248,24,39.8,5.9,29.9
"Any Weapon",22,304,1232,25,5830,247,57,4.1,15.6,20
Archery,22,57,406,14,3229,11,46,0,0,12.3
"All Weapons Combined",22,361,1520,24,9059,258,104,4,15,18.8
"Any Weapon",23,448,1788,25,9669,386,62,53.6,14.1,52.9
Archery,23,79,421,19,3548,43,36,32.4,33.2,20.6
Muzzleloader,23,4,13,31,89,,4,,,100
"All Weapons Combined",23,531,2108,25,13307,429,102,50.4,15,48.4
"Any Weapon",24,242,1709,14,8535,212,30,47.2,12.5,29.1
Archery,24,79,588,13,4350,48,32,42.4,0,18.9
Muzzleloader,24,9,27,33,168,5,4,,0,100
"All Weapons Combined",24,330,2196,15,13053,264,66,46.2,10,28.5
"Any Weapon",25,184,949,19,5337,162,22,45.4,0,0.9
Archery,25,21,240,9,1582,7,14,81.6,,0
"All Weapons Combined",25,206,1141,18,6919,170,36,47,0,0.8
"Any Weapon",26,41,214,19,1427,41,,68.3,0,3.1
Archery,26,0,12,0,97,,,,,
"All Weapons Combined",26,41,226,18,1524,41,,68.3,0,3.1
"Any Weapon",27,283,937,30,6049,283,,49.4,0,1
Archery,27,0,2,0,16,,,,,
"All Weapons Combined",27,283,940,30,6066,283,,49.4,0,1
"Any Weapon",28,419,1728,24,9712,406,13,37.8,11.3,8.6
Archery,28,69,297,23,1432,33,36,35.8,,0
Muzzleloader,28,0,8,0,33,,,,,
"All Weapons Combined",28,488,1989,25,11177,439,49,37.7,11.3,7.4
"Any Weapon",29,332,954,35,4161,308,24,27.1,31.1,33.2
Archery,29,51,216,24,1392,30,21,49.3,,0
Muzzleloader,29,15,54,28,218,8,6,,19.3,100
"All Weapons Combined",29,398,1156,34,5771,346,52,29.9,30.1,31.4
"Any Weapon",30,321,1015,32,4608,282,39,20.1,30.1,28
Archery,30,37,169,22,944,20,17,24.5,26.5,16.3
Muzzleloader,30,25,47,53,224,17,8,,46.8,100
"All Weapons Combined",30,383,1162,33,5775,320,64,20.4,33.2,31.6
"Any Weapon",30A,17,58,29,214,13,4,0,,20.9
Archery,30A,3,95,3,717,3,,0,,0
Muzzleloader,30A,0,8,0,53,,,,,
"All Weapons Combined",30A,19,159,12,983,16,4,0,,18.1
"Any Weapon",31,290,1222,24,4521,255,35,38.5,,0
Archery,31,43,256,17,1626,30,13,0,,0
"All Weapons Combined",31,333,1400,24,6147,285,48,34.5,,0
"Any Weapon",32,642,2589,25,9669,541,101,25.3,,0
Archery,32,48,294,16,1572,13,36,0,,0
Muzzleloader,32,0,6,0,12,,,,,
"All Weapons Combined",32,691,2802,25,11252,554,136,24.7,,0
"Any Weapon",32A,410,2617,16,11537,324,87,33.4,0,7.9
Archery,32A,58,511,11,3258,30,28,0,,0
Muzzleloader,32A,0,6,0,17,,,,,
"All Weapons Combined",32A,468,3001,16,14813,354,114,30.5,0,6.9
"Any Weapon",33,226,1290,18,6741,208,18,30.1,0,27.6
Archery,33,6,123,5,876,6,,,0,100
"All Weapons Combined",33,232,1389,17,7617,214,18,30.1,0,29.4
"Any Weapon",34,30,260,12,1368,26,4,49.8,,11.8
Archery,34,37,166,22,1328,,37,,,0
"All Weapons Combined",34,67,420,16,2696,26,41,49.8,,5.2
"Any Weapon",35,89,561,16,3102,89,,62.8,,0
Archery,35,0,36,0,262,,,,,
"All Weapons Combined",35,89,596,15,3364,89,,62.8,,0
"Any Weapon",36,261,1002,26,4930,244,17,53.1,,0
Archery,36,86,243,35,2172,33,54,35.9,,0
Muzzleloader,36,1,2,50,15,1,,,100,100
"All Weapons Combined",36,349,1219,29,7117,278,70,51,100,0.4
"Any Weapon",36A,170,592,29,2530,160,10,41.6,0,6.2
Archery,36A,12,173,7,1309,9,4,14.8,,0
"All Weapons Combined",36A,182,743,24,3838,168,14,40.2,0,5.7
"Any Weapon",36B,464,1468,32,7854,441,23,29.3,0,5
Archery,36B,3,94,3,745,,3,,,0
Muzzleloader,36B,3,12,25,59,3,,,43.1,100
"All Weapons Combined",36B,470,1539,31,8658,444,26,29.3,5.3,5.6
"Any Weapon",37,147,398,37,1679,119,28,13.2,22.2,34.5
Archery,37,0,54,0,286,,,,,
Muzzleloader,37,36,54,67,322,23,13,,51.8,100
"All Weapons Combined",37,183,490,37,2287,142,41,13.2,34.3,47.4
"Any Weapon",37A,72,226,32,1036,63,9,19.9,29.1,25.1
Archery,37A,12,76,16,633,5,7,0,0,13
Muzzleloader,37A,2,29,7,116,1,1,,0,100
"All Weapons Combined",37A,87,315,28,1785,69,18,18.4,24.4,25.5
"Any Weapon",38,210,662,32,2617,88,122,28.8,0,3.3
Archery,38,4,99,4,581,,4,,,0
Muzzleloader,38,16,52,31,189,10,6,33.3,,0
"All Weapons Combined",38,229,786,29,3386,98,131,29.3,0,3.1
"Any Weapon",39,2193,11208,20,49231,1721,472,26.7,0,1.9
Archery,39,133,1834,7,6693,78,55,72.9,,0
Muzzleloader,39,94,474,20,2752,,94,,,0
"All Weapons Combined",39,2420,12737,19,58676,1799,622,28.8,0,1.7
"Any Weapon",40,782,2385,33,8457,782,,2.8,0,0.2
Archery,40,83,336,25,1501,17,66,0,,0
"All Weapons Combined",40,865,2619,33,9958,799,66,2.8,0,0.2
"Any Weapon",41,143,535,27,1847,142,1,0,,0
Archery,41,6,31,19,128,,6,,,0
Muzzleloader,41,0,6,0,17,,,,,
"All Weapons Combined",41,149,566,26,1992,142,7,0,,0
"Any Weapon",42,56,350,16,1140,56,,21.2,,0
Archery,42,0,12,0,57,,,,,
"All Weapons Combined",42,56,361,16,1198,56,,21.2,,0
"Any Weapon",43,950,3788,25,16247,770,180,31.9,0,0.1
Archery,43,78,780,10,5529,25,53,47.4,,7.7
Muzzleloader,43,0,12,0,17,,,,,
"All Weapons Combined",43,1028,4336,24,21793,795,234,32.4,0,0.7
"Any Weapon",44,3,56,5,298,3,,0,0,56.1
Archery,44,1,18,6,153,,1,,,0
"All Weapons Combined",44,4,75,5,451,3,1,0,0,39
"Any Weapon",45,31,149,21,542,28,3,24.6,,0
Archery,45,1,2,50,20,1,,0,,0
Muzzleloader,45,0,4,0,7,,,,,
"All Weapons Combined",45,32,155,21,569,30,3,23.5,,0
"Any Weapon",46,518,1850,28,8872,415,102,32.7,,0
Archery,46,1,90,1,778,,1,,,0
Muzzleloader,46,4,9,44,47,4,,0,,0
"All Weapons Combined",46,522,1911,27,9697,419,103,32.4,,0
"Any Weapon",47,0,20,0,71,,,,,
Archery,47,4,108,4,526,,4,,,0
"All Weapons Combined",47,4,129,3,597,,4,,,0
"Any Weapon",48,572,1995,29,8269,565,7,36.7,0,0.2
Archery,48,20,246,8,1630,,20,,,0
"All Weapons Combined",48,592,2157,27,9899,565,27,36.7,0,0.2
"Any Weapon",49,526,2144,25,9394,526,,33.7,0,0.2
Archery,49,49,253,19,1791,30,18,42.1,,0
Muzzleloader,49,0,4,0,7,,,,,
"All Weapons Combined",49,575,2349,24,11192,557,18,34.1,0,0.2
"Any Weapon",50,497,2072,24,8932,427,70,40.6,29.5,7.2
Archery,50,22,355,6,2816,12,10,24.2,0,7.3
Muzzleloader,50,0,6,0,6,,,,,
"All Weapons Combined",50,519,2337,22,11753,439,80,40.1,27.6,7.2
"Any Weapon",51,167,922,18,3748,135,32,26.8,70.4,8.8
Archery,51,8,192,4,1366,6,1,0,,0
Muzzleloader,51,0,2,0,11,,,,,
"All Weapons Combined",51,175,1036,17,5125,141,34,25.5,70.4,8.5
"Any Weapon",52,15,110,14,335,5,10,73.4,,0
Archery,52,0,7,0,40,,,,,
"All Weapons Combined",52,15,118,13,375,5,10,73.4,,0
"Any Weapon",52A,189,1092,17,5064,151,38,45.9,,0
Archery,52A,0,28,0,120,,,,,
Muzzleloader,52A,0,6,0,40,,,,,
"All Weapons Combined",52A,189,1099,17,5224,151,38,45.9,,0
"Any Weapon",53,118,400,30,1933,77,42,37.8,,0
Archery,53,6,34,18,218,6,,0,,0
Muzzleloader,53,21,58,36,241,16,5,7.8,,0
"All Weapons Combined",53,145,492,29,2392,99,46,30.6,,0
"Any Weapon",54,0,54,0,192,,,,,
Archery,54,0,83,0,452,,,,,
"All Weapons Combined",54,0,138,0,644,,,,,
"Any Weapon",55,14,48,29,157,14,,59.1,,0
Archery,55,68,733,9,3447,45,23,42.5,,0
"All Weapons Combined",55,82,772,11,3604,59,23,46.5,,0
"Any Weapon",56,244,1875,13,7815,244,,24.6,0,1.4
Archery,56,23,160,14,1074,10,13,100,,0
Muzzleloader,56,0,12,0,92,,,,,
"All Weapons Combined",56,267,1998,13,8981,254,13,27.8,0,1.3
"Any Weapon",57,7,34,21,105,7,,0,,0
Archery,57,5,59,8,440,4,1,0,,0
"All Weapons Combined",57,12,92,13,546,10,1,0,,0
"Any Weapon",58,43,375,11,1322,40,4,31.9,,8.1
Archery,58,12,82,15,648,6,6,100,,0
Muzzleloader,58,0,5,0,14,,,,,
"All Weapons Combined",58,55,435,13,1984,46,9,40.5,,6.4
"Any Weapon",59,311,1004,31,3269,230,81,25.6,,0
Archery,59,44,202,22,1398,7,37,0,,0
"All Weapons Combined",59,356,1158,31,4667,237,118,24.8,,0
"Any Weapon",59A,130,517,25,1519,88,42,26.5,,0
Archery,59A,13,86,15,805,7,6,100,,0
Muzzleloader,59A,0,9,0,48,,,,,
"All Weapons Combined",59A,143,586,24,2372,95,48,31.9,,0
"Any Weapon",60,132,1127,12,4964,101,31,8.4,0,27.8
Archery,60,53,288,18,2378,26,26,25,100,6.7
"All Weapons Combined",60,185,1313,14,7341,127,58,12,16.9,21.7
"Any Weapon",60A,187,1094,17,4486,147,40,8.6,0,14.9
Archery,60A,35,226,15,1826,32,2,,39.7,92.7
Muzzleloader,60A,4,4,100,4,4,,,0,100
"All Weapons Combined",60A,225,1273,18,6315,183,42,8.6,25.6,28.3
"Any Weapon",61,168,1161,14,5065,115,52,40.5,20.1,14.7
Archery,61,104,525,20,4462,40,63,63.5,0,11
Muzzleloader,61,0,30,0,96,,,,,
"All Weapons Combined",61,271,1552,17,9624,156,116,45.8,12.2,13.3
"Any Weapon",62,96,613,16,3147,74,22,9.8,0,31.9
Archery,62,11,124,9,1069,4,7,,0,100
"All Weapons Combined",62,107,689,16,4216,78,29,9.8,0,38.7
"Any Weapon",62A,70,309,23,1724,57,13,8,10,30.1
Archery,62A,0,61,0,473,,,,,
"All Weapons Combined",62A,70,355,20,2197,57,13,8,10,30.1
"Any Weapon",63,43,240,18,879,31,12,50,72.6,33.2
Archery,63,22,174,13,1062,18,4,100,0,58.1
Muzzleloader,63,6,24,25,99,6,,0,,0
"All Weapons Combined",63,71,429,17,2040,55,16,55.2,42,38.2
"Any Weapon",63A,108,342,32,1369,72,36,0,24.4,84.1
Archery,63A,132,398,33,4399,113,19,,41.5,100
Muzzleloader,63A,7,35,20,181,7,,,0,100
"All Weapons Combined",63A,248,698,36,5949,192,55,0,34.5,93.1
"Any Weapon",64,85,504,17,1960,59,26,9.7,22,47.7
Archery,64,6,48,12,404,6,,0,,0
"All Weapons Combined",64,90,524,17,2365,64,26,8,22,44.6
"Any Weapon",65,26,315,8,1102,26,,5.5,0,12.3
Archery,65,13,84,15,602,6,7,,0,56.2
"All Weapons Combined",65,40,364,11,1703,32,7,5.5,0,26.8
"Any Weapon",66,86,912,9,3616,79,7,29.3,0,11.1
Archery,66,2,246,1,1876,,2,,,0
"All Weapons Combined",66,89,1082,8,5491,79,10,29.3,0,10.8
"Any Weapon",66A,59,488,12,2283,56,4,38.2,,0
Archery,66A,14,116,12,881,6,8,0,,0
Muzzleloader,66A,0,1,0,4,,,,,
"All Weapons Combined",66A,73,590,12,3168,62,12,34.7,,0
"Any Weapon",67,103,833,12,3673,72,31,52.5,6.4,38
Archery,67,8,109,7,844,7,1,0,0,30.4
Muzzleloader,67,0,4,0,14,,,,,
"All Weapons Combined",67,111,901,12,4531,78,32,47.2,6,37.5
"Any Weapon",68,145,609,24,2260,128,18,38,0,3.9
Archery,68,7,37,19,435,6,1,0,,0
"All Weapons Combined",68,152,631,24,2695,133,19,36.3,0,3.8
"Any Weapon",68A,1,29,3,92,1,,100,,0
Archery,68A,0,4,0,4,,,,,
"All Weapons Combined",68A,1,33,3,96,1,,100,,0
"Any Weapon",69,343,2178,16,8821,331,12,33.1,11.6,14.9
Archery,69,36,342,11,2564,17,18,100,100,16.1
"All Weapons Combined",69,379,2350,16,11385,348,31,35.7,20.7,15
"Any Weapon",70,28,124,23,563,21,7,50,,0
Archery,70,0,1,0,14,,,,,
"All Weapons Combined",70,28,125,22,577,21,7,50,,0
"Any Weapon",71,213,952,22,3658,213,,38,0,2.7
Archery,71,18,118,15,937,15,4,61.7,,0
"All Weapons Combined",71,232,1004,23,4595,228,4,39.6,0,2.5
"Any Weapon",72,125,685,18,2918,119,6,27.8,0,1.1
Archery,72,16,115,14,731,15,1,38.3,,0
"All Weapons Combined",72,141,750,19,3649,134,7,29,0,0.9
"Any Weapon",73,114,383,30,1454,47,66,38.4,0,1.2
Archery,73,56,208,27,1540,41,15,34.5,0,10.3
"All Weapons Combined",73,169,584,29,2994,88,81,36.7,0,4.2
"Any Weapon",73A,208,993,21,3810,178,29,28.5,,0
Archery,73A,13,106,12,532,1,12,100,,0
"All Weapons Combined",73A,220,1045,21,4343,180,41,29,,0
"Any Weapon",74,306,1116,27,4854,298,7,38.6,,0
Archery,74,10,132,8,1324,10,,33.3,,0
"All Weapons Combined",74,316,1192,27,6178,309,7,38.4,,0
"Any Weapon",75,201,1108,18,4675,164,36,29.4,,1.4
Archery,75,8,165,5,1181,1,7,0,,0
"All Weapons Combined",75,209,1208,17,5856,166,43,29.2,,1.3
"Any Weapon",76,510,3178,16,16628,502,7,27.3,,0
Archery,76,62,619,10,6126,31,31,20.2,0,11.4
Muzzleloader,76,0,5,0,22,,,,,
"All Weapons Combined",76,572,3517,16,22777,534,38,27,0,1.2
"Any Weapon",77,254,994,26,4640,232,22,33.8,,0
Archery,77,18,159,11,1243,12,6,50,,0
"All Weapons Combined",77,272,1046,26,5883,244,28,34.6,,0
"Any Weapon",78,4,68,6,354,4,,42.1,,0
Archery,78,38,264,14,2418,30,8,48.2,,0
Muzzleloader,78,0,6,0,40,,,,,
"All Weapons Combined",78,42,315,13,2812,34,8,47.4,,0
